PLANTILLA_PERDIDASDELINEA;;;;;
Sistema;COV - CNG;;;;
Tramo;COV - CTG;;;;
Distancia;N/A;;;;
Prop1;N/A;;;;
Prop2;N/A;;;;
Prop3;N/A;;;;
Prop4;N/A;;;;
Prop5;N/A;;;;
Prop6;N/A;;;;
Estampa de tiempo;DPreal (psi);Flujo (BLS/h);GE (API);Visc. Obs. (cSt); GElínea 
4/06/2021 7:00;1532,942667;6363,648333;22,22876712;73,32;22,24
4/06/2021 8:00;1528,883167;6350,6955;22,12461538;72,65;22,23
4/06/2021 9:00;1531,602167;6360,092;22,08860759;72,26;22,22
4/06/2021 10:00;1525,9385;6340,639833;22,14177215;72,03;22,21
4/06/2021 11:00;1530,7145;6352,891167;22,17115385;72,12;22,21
4/06/2021 12:00;1533,365167;6363,105333;22,21617647;71,53;22,21
4/06/2021 13:00;1530,7245;6358,2235;22,20172414;70,94;22,21
4/06/2021 14:00;1526,028333;6344,923667;22,17631579;70,53;22,2
4/06/2021 15:00;1528,422;6360,566333;22,1890411;71,48;22,2
4/06/2021 16:00;1528,273667;6353,405833;22,16428571;71,93;22,19
4/06/2021 17:00;1523,977167;6346,259333;22,14375;71,62;22,19
4/06/2021 18:00;1521,104167;6340,8765;22,1962963;71,66;22,19
4/06/2021 19:00;1517,031;6325,259667;22,23061224;72,13;22,19
4/06/2021 20:00;1508,173667;6288,631833;21,578125;99,28;22,15
4/06/2021 21:00;1533,851333;6363,4275;22,105;69,54;22,15
4/06/2021 22:00;1538,410167;6362,4195;22,39047619;69,49;22,16
4/06/2021 23:00;1540,9605;6359,4395;22,49859155;68,55;22,17
5/06/2021 0:00;1540,642667;6352,2935;22,54137931;68,5;22,19
5/06/2021 1:00;1540,415167;6344,938333;22,38181818;68,62;22,2
5/06/2021 2:00;1540,839833;6340,531333;22,54920635;68,72;22,22
5/06/2021 3:00;1541,966;6333,560167;22,49215686;68,86;22,23
5/06/2021 4:00;1540,1385;6323,335667;22,59655172;69,36;22,26
5/06/2021 5:00;1540,082;6314,795667;22,49107143;68,77;22,28
5/06/2021 6:00;1540,016833;6314,154667;22,56415094;69,15;22,3
5/06/2021 7:00;1540,527;6311,657333;22,428125;68,03;22,31
5/06/2021 8:00;1541,2015;6307,555333;22,30793651;68,05;22,32
5/06/2021 9:00;1542,934333;6306,3495;22,22941176;67,09;22,32
5/06/2021 10:00;1543,959333;6299,662833;22,26125;67,2;22,32
5/06/2021 11:00;1543,135;6283,295667;22,45308642;67,03;22,34
5/06/2021 12:00;1545,6965;6280,934167;22,27407407;67,9;22,35
5/06/2021 13:00;1544,425833;6270,5085;22,33623188;66,97;22,35
5/06/2021 14:00;1542,445667;6263,9635;22,33493976;66,86;22,36
5/06/2021 15:00;1546,01;6270,339167;22,21235955;66,74;22,39
5/06/2021 16:00;1546,881167;6280,620333;22,3195122;67,36;22,4
5/06/2021 17:00;1546,709;6291,824;22,4;68,66;22,4
5/06/2021 18:00;1543,189;6275,5055;22,55512821;68,14;22,41
5/06/2021 19:00;1535,506333;6258,637833;22,57222222;68,56;22,41
5/06/2021 20:00;1536,573833;6263,014667;22,41866667;68,5;22,41
5/06/2021 21:00;1549,603;6295,358333;22,60897436;67,5;22,41
5/06/2021 22:00;1549,78;6287,5655;22,42622951;67,37;22,41
5/06/2021 23:00;1549,597667;6291,4425;22,49189189;67,68;22,4
6/06/2021 0:00;1548,47;6285,374;22,45324675;68,08;22,4
6/06/2021 1:00;1548,5125;6283,620333;22,4972973;68,05;22,4
6/06/2021 2:00;1550,5615;6263,497167;22,38253968;67,8;22,4
6/06/2021 3:00;1553,678;6238,1845;22,54590164;68,29;22,41
6/06/2021 4:00;1557,448333;6214,3735;22,52037037;68,6;22,42
6/06/2021 5:00;1566,844833;6213,218333;22,45522388;68,8;22,43
6/06/2021 6:00;1575,258167;6197,428167;22,53676471;68,82;22,44
6/06/2021 7:00;1579,359667;6173,660333;22,6;68,23;22,45
6/06/2021 8:00;1583,929;6153,285333;22,54022989;67,58;22,46
6/06/2021 9:00;1591,208333;6133,859667;22,4452381;66,23;22,47
6/06/2021 10:00;1597,9295;6129,451833;22,27323944;65,97;22,46
6/06/2021 11:00;1600,88;6102,7995;22,4097561;65,38;22,47
6/06/2021 12:00;1601,2655;6075,012667;22,49494949;66,22;22,48
6/06/2021 13:00;1600,576833;6050,652667;22,47604167;65,3;22,49
6/06/2021 14:00;1607,286167;6037,831667;22,51058824;65,52;22,48
6/06/2021 15:00;1018,255;4340,789833;22,52168675;69,62;22,45
6/06/2021 16:00;970,273;4402,154333;22,63928571;68,53;22,47
6/06/2021 17:00;971,8146667;4393,710667;22,60215054;67,4;22,48
6/06/2021 18:00;974,8615;4393,208333;22,55806452;67,92;22,49
6/06/2021 19:00;977,9695;4395,868333;22,58673469;68,17;22,5
6/06/2021 20:00;980,7163333;4392,787667;22,49230769;67,92;22,5
6/06/2021 21:00;981,327;4388,338833;22,5275;67,55;22,5
6/06/2021 22:00;980,5423333;4391,247667;22,6325;67,73;22,51
6/06/2021 23:00;1028,541833;4410,791333;22,59615385;66,84;22,51
7/06/2021 1:00;1500,913667;5627,862;22,46338028;70,49;22,41
7/06/2021 2:00;1509,006333;5641,055833;22,53411765;68,79;22,41
7/06/2021 3:00;1508,2525;5645,504833;22,54444444;68,84;22,41
7/06/2021 4:00;1507,427667;5644,020167;22,49550562;68,89;22,41
7/06/2021 5:00;1506,429;5638,812167;22,52790698;68,8;22,41
7/06/2021 6:00;1506,134167;5635,611667;22,33333333;68,44;22,4
7/06/2021 7:00;1505,559;5634,939167;22,52923077;68,55;22,42
7/06/2021 8:00;1504,795167;5635,999833;22,4325;69,55;22,42
7/06/2021 9:00;1503,2685;5631,299833;22,50595238;68,92;22,42
7/06/2021 10:00;1501,441333;5625,071;22,46341463;70,59;22,42
7/06/2021 11:00;1500,253333;5621,194167;22,58333333;68,91;22,42
7/06/2021 12:00;1500,194333;5620,128333;22,55977011;68,13;22,42
7/06/2021 13:00;1506,542833;5635,177167;22,47926829;68,92;22,41
7/06/2021 14:00;1504,095667;5629,412333;22,48815789;69,45;22,41
7/06/2021 15:00;1501,4865;5626,661333;22,54936709;68,92;22,41
7/06/2021 16:00;1502,586833;5624,8525;22,51111111;69,06;22,4
7/06/2021 17:00;1503,004167;5624,432;22,50945946;69,55;22,41
7/06/2021 18:00;1500,997667;5625,637833;22,52087912;69,8;22,41
7/06/2021 19:00;1503,171667;5624,786;22,48823529;69,45;22,4
7/06/2021 20:00;1395,447667;5359,4035;22,46436782;69,11;22,4
7/06/2021 21:00;1320,960833;5231,812167;22,55324675;69,85;22,41
7/06/2021 22:00;1311,934333;5233,3675;22,5505618;70,2;22,41
7/06/2021 23:00;1306,127167;5206,1;22,45454545;70,23;22,5
8/06/2021 0:00;1307,496;5229,421167;22,54588235;69,22;22,51
8/06/2021 1:00;1335,801;5283,141167;22,62758621;69,6;22,51
8/06/2021 2:00;1335,105167;5286,320667;22,59655172;69,45;22,51
8/06/2021 3:00;1334,6515;5285,425833;22,58604651;69,63;22,52
8/06/2021 4:00;1334,1725;5280,196;22,53797468;69,72;22,52
8/06/2021 5:00;1333,5695;5277,421667;22,66428571;69,86;22,53
8/06/2021 6:00;1332,908;5276,663333;22,56511628;69,73;22,53
8/06/2021 7:00;1332,347833;5275,768333;22,56582278;69,37;22,54
8/06/2021 8:00;1332,908667;5280,1655;22,43125;69,04;22,53
8/06/2021 9:00;1334,049667;5284,0755;22,58735632;68,12;22,54
8/06/2021 10:00;1335,5875;5282,852833;22,50493827;68,44;22,54
8/06/2021 11:00;1442,946;5557,877833;22,54936709;68,27;22,54
8/06/2021 12:00;1493,187667;5629,673;22,41527778;69,27;22,53
8/06/2021 13:00;1488,433;5615,2605;22,53768116;69,79;22,54
8/06/2021 14:00;1489,0875;5623,962667;22,43114754;69,04;22,53
8/06/2021 15:00;1499,556833;5646,303667;22,56619718;68,78;22,53
8/06/2021 16:00;1500,395833;5642,662167;22,44166667;68,18;22,53
8/06/2021 17:00;1500,925333;5646,058;22,33648649;68,96;22,53
8/06/2021 18:00;1495,836333;5630,810833;22,4;68,84;22,52
8/06/2021 19:00;1495,271167;5634,347167;22,49295775;68,83;22,52
8/06/2021 20:00;1492,695833;5627,487;22,588;68,98;22,52
8/06/2021 21:00;1494,0505;5631,664333;22,54084507;68,61;22,52
8/06/2021 22:00;1494,973833;5635,323;22,52424242;68,49;22,52
8/06/2021 23:00;1494,269833;5630,7755;22,50909091;68,54;22,51
9/06/2021 0:00;1492,832667;5633,340167;22,50909091;68,35;22,51
9/06/2021 1:00;1491,682;5624,637667;22,50909091;69,31;22,51
9/06/2021 2:00;1500,336667;5642,248667;22,50909091;69,43;22,5
9/06/2021 3:00;1503,643167;5655,514333;22,50909091;71,2;22,5
9/06/2021 4:00;1502,135;5649,056167;22,50909091;71,25;22,5
9/06/2021 5:00;1500,891;5644,411167;22,50909091;71,05;22,5
9/06/2021 6:00;1500,302167;5641,4805;22,50909091;70,25;22,5
9/06/2021 7:00;1477,119;5586,257333;22,50909091;117,37;22,5
9/06/2021 8:00;1498,693833;5620,041333;22,50909091;92,56;22,49
9/06/2021 9:00;1501,917333;5612,113333;22,50909091;89,78;22,5
9/06/2021 10:00;1507,5455;5612,021333;22,50909091;86,58;22,5
9/06/2021 11:00;1508,822333;5605,442;22,50909091;84,73;22,5
9/06/2021 12:00;1514,2935;5604,5755;22,50909091;81,01;22,5
9/06/2021 13:00;1515,903167;5606,978333;22,50909091;79,03;22,5
9/06/2021 14:00;1517,1705;5602,2735;22,50909091;77,22;22,51
9/06/2021 15:00;1517,343;5592,964167;22,50909091;75,01;22,51
9/06/2021 16:00;1514,389167;5586,5015;22,50909091;73,73;22,51
9/06/2021 17:00;1515,627667;5589,9685;22,50909091;71,2;22,51
9/06/2021 18:00;1516,534667;5585,540167;22,50909091;70,03;22,51
9/06/2021 19:00;1515,606167;5586,741;22,50909091;67,39;22,51
9/06/2021 20:00;1316,368667;4923,068;22,50909091;65,4;22,51
9/06/2021 21:00;988,448;4361,554833;22,50909091;63,58;22,51
9/06/2021 22:00;1174,221833;4934,993;22,50909091;61,76;22,51
9/06/2021 23:00;1534,8515;5637,068167;22,50909091;61,44;22,51
10/06/2021 0:00;1533,630667;5638,882667;23,08817204;61,61;22,54
10/06/2021 1:00;1531,701667;5640,330167;23,18977273;61,48;22,57
10/06/2021 2:00;1529,872833;5643,936833;23,18452381;61,19;22,6
10/06/2021 3:00;1528,58;5646,979667;23,09;61,08;22,63
10/06/2021 4:00;1526,572333;5647,325333;23,15365854;61,24;22,66
10/06/2021 5:00;1517,163333;5647,661667;23,1382716;60,8;22,69
10/06/2021 6:00;1511,946667;5656,427667;23,03287671;60,48;22,71
10/06/2021 7:00;1508,271;5669,815333;23,24571429;61,07;22,75
10/06/2021 8:00;1508,486333;5686,223667;23,328125;59,92;22,79
10/06/2021 9:00;1513,826;5714,012667;23,68224299;59,38;22,84
10/06/2021 10:00;1513,364333;5729,4295;23,47403846;59,65;22,89
10/06/2021 11:00;1507,162333;5731,296;23,78378378;59,47;22,95
10/06/2021 12:00;1499,378167;5727,146;24,41150442;59,26;23,04
10/06/2021 13:00;1493,398333;5723,3395;24,54952381;58,9;23,14
10/06/2021 14:00;1475,318667;5693,681833;24,83928571;58,28;23,25
10/06/2021 15:00;1471,387333;5697,335167;24,4745098;59,59;23,34
10/06/2021 16:00;1469,358833;5691,888;24,10196078;59,43;23,42
10/06/2021 17:00;1467,116;5700,889833;23,89320388;59,6;23,49
10/06/2021 18:00;1463,8015;5696,907167;24,13398058;60,17;23,56
10/06/2021 19:00;1471,689;5712,2245;24,10606061;60,43;23,64
10/06/2021 20:00;1470,2325;5712,783;24,13762376;59,72;23,72
10/06/2021 21:00;1443,583333;5570,356;24,09207921;59,8;23,73
10/06/2021 22:00;878,138;4151,698667;23,6755102;60,45;23,48
11/06/2021 0:00;875,178;4178,128833;23,44242424;59,94;23,55
11/06/2021 2:00;1373,514833;5582,673167;24,00392157;60,41;23,85
11/06/2021 3:00;1459,127667;5680,886667;24,19537037;60,36;23,94
11/06/2021 4:00;1458,878167;5681,844667;24,03564356;59,48;23,98
11/06/2021 5:00;1458,0105;5675,017833;23,84716981;59,85;24
11/06/2021 6:00;1457,089833;5674,782667;23,76;60,38;24,01
11/06/2021 7:00;1457,096;5674,1275;24,03861386;60,21;24,03
11/06/2021 8:00;1458,498833;5678,2895;24,22692308;58,62;24,05
11/06/2021 9:00;1461,1355;5687,5095;24,51261261;58,09;24,06
11/06/2021 10:00;1460,408333;5683,95;24,47788462;58,91;24,06
11/06/2021 11:00;1458,340833;5676,631167;24,5706422;58,5;24,04
11/06/2021 12:00;1457,621333;5680,999167;24,25294118;57,79;24,03
11/06/2021 13:00;1456,474167;5681,125;24,32685185;57,23;24,04
11/06/2021 14:00;1456,013;5674,497667;24,46261682;56,98;24,07
11/06/2021 16:00;1470,311;5673,583333;22,40322581;68,84;23,82
11/06/2021 17:00;1480,5255;5684,410167;22,36144578;69,7;23,74
11/06/2021 18:00;1483,807167;5689,300333;22,384375;69,67;23,66
11/06/2021 19:00;1482,666667;5678,791167;22,71511628;69,41;23,61
11/06/2021 20:00;1482,352667;5673,3645;22,43902439;69,73;23,55
11/06/2021 21:00;1482,483167;5664,694667;22,56;70,11;23,51
11/06/2021 22:00;1482,971333;5654,360833;22,35915493;69,56;23,46
11/06/2021 23:00;1482,858333;5654,181333;22,32875;69,49;23,38
12/06/2021 0:00;1482,828333;5642,772333;22,34126984;69,24;23,29
12/06/2021 1:00;1483,008167;5636,6165;22,2047619;69,73;23,2
12/06/2021 2:00;1482,567833;5627,542;22,3308642;68,84;23,13
12/06/2021 3:00;1482,463167;5626,976167;22,37341772;68,98;23,06
12/06/2021 4:00;1489,101333;5629,143333;22,41891892;69,18;22,99
12/06/2021 5:00;1491,0805;5631,542667;22,30945946;70;22,89
12/06/2021 6:00;1481,808333;5587,449167;22,3260274;69,9;22,87
12/06/2021 7:00;1473,0005;5598,212667;22,42112676;68,99;22,69
12/06/2021 8:00;1493,4625;5620,762;22,57083333;67,9;22,6
12/06/2021 9:00;1494,711167;5612,7655;22,34625;69,79;22,51
12/06/2021 10:00;1492,247167;5598,784167;22,32236842;69,85;22,41
12/06/2021 11:00;1492,661;5599,615;22,42298851;68,08;22,31
12/06/2021 12:00;1489,892333;5602,045;22,41971831;68,71;22,4
12/06/2021 13:00;1487,962833;5611,401667;22,38571429;68,84;22,4
12/06/2021 14:00;1310,304667;5045,451167;22,47936508;68,32;22,33
12/06/2021 15:00;892,5913333;4121,5205;22,39076923;68,86;22,62
12/06/2021 16:00;891,8461667;4116,4385;22,37460317;68,94;22,54
12/06/2021 17:00;891,4613333;4115,504333;22,4;68,55;22,48
12/06/2021 18:00;890,381;4109,550333;22,45802469;69,03;22,41
13/06/2021 6:00;888,0013333;4092,529833;22,47205882;70,39;22,42
13/06/2021 7:00;886,733;4094,636833;22,51153846;69,52;22,43
13/06/2021 9:00;1455,788333;5626,266333;22,41976744;68,39;22,45
13/06/2021 10:00;1502,152333;5620,108333;22,52688172;67,33;22,45
13/06/2021 11:00;1502,192333;5617,6475;22,74368932;68,02;22,46
13/06/2021 12:00;1501,524667;5616,046667;22,56236559;67,84;22,47
13/06/2021 13:00;1499,095167;5614,067;22,4425;69,47;22,48
13/06/2021 14:00;1501,032333;5622,281333;22,46333333;67,43;22,48
13/06/2021 15:00;1506,578833;5633,3115;22,43452381;67,81;22,48
13/06/2021 16:00;1505,189167;5639,305833;22,41538462;67,74;22,48
13/06/2021 17:00;1509,229333;5647,694333;22,44303797;68,23;22,48
13/06/2021 18:00;1510,942833;5650,7425;22,5;68,74;22,48
13/06/2021 19:00;1507,201833;5639,945667;22,48586957;68,73;22,49
13/06/2021 20:00;1511,8765;5647,638;22,41511628;68,66;22,49
13/06/2021 21:00;1510,4475;5651,529;22,4;68,53;22,48
13/06/2021 22:00;1508,865333;5644,0325;22,47758621;69,1;22,49
13/06/2021 23:00;1507,373167;5645,699;22,44358974;69,36;22,49
14/06/2021 0:00;1506,504667;5640,927667;22,50952381;69,29;22,49
14/06/2021 1:00;1508,324667;5644,849667;22,44680851;69,49;22,48
14/06/2021 3:00;1515,773167;5639,631;22,10294118;71,12;22,34
14/06/2021 4:00;1515,61;5637,271333;22,61341463;67,74;22,35
14/06/2021 5:00;1508,770333;5628,285167;22,77865169;65,22;22,37
14/06/2021 6:00;1512,8275;5640,6105;22,94871795;62,93;22,39
14/06/2021 7:00;1511,536333;5640,17;23,22268041;63,15;22,42
14/06/2021 8:00;1511,6495;5648,396833;23,185;62,91;22,45
14/06/2021 9:00;1509,516;5648,159833;23,33106796;61,72;22,48
14/06/2021 10:00;1503,906;5634,499;23,58659794;61,23;22,54
14/06/2021 11:00;1500,510833;5634,621667;23,84954128;61,62;22,6
14/06/2021 12:00;1506,165667;5655,1005;23,75918367;61,41;22,67
14/06/2021 13:00;1514,888167;5674,437667;23,28555556;61,13;22,71
14/06/2021 14:00;1513,69;5677,311667;23,18152174;62,02;22,74
14/06/2021 15:00;1506,5835;5665,5835;23,96788991;61,29;22,81
14/06/2021 16:00;974,7143333;4244,740833;23,27211538;62,26;22,75
14/06/2021 17:00;878,4585;4125,0805;23,35360825;61,78;22,77
14/06/2021 18:00;877,781;4121,605667;23,139;62,76;22,8
14/06/2021 19:00;876,8525;4121,959833;23,24444444;62,24;22,82
14/06/2021 20:00;876,5341667;4121,956167;23,11473684;62,17;22,85
14/06/2021 21:00;875,8596667;4122,916833;23,22;62,6;22,87
14/06/2021 22:00;875,1558333;4121,629833;23,21326531;62,01;22,9
14/06/2021 23:00;874,5458333;4122,336;23,15434783;63,53;22,92
15/06/2021 0:00;873,864;4124,963167;22,97027027;62,6;22,94
15/06/2021 9:00;1420,804;5594,9545;23,2980198;61,53;23,14
15/06/2021 10:00;1458,563333;5604,794;23,7029703;60,38;23,16
15/06/2021 11:00;1459,134833;5607,608667;24,06388889;60,9;23,2
15/06/2021 12:00;1458,221167;5606,652;24,21121495;60,62;23,21
15/06/2021 13:00;1457,342;5604,575167;24,01262136;60,43;23,25
15/06/2021 14:00;1456,560333;5603,754833;24,15533981;60,04;23,28
15/06/2021 15:00;1455,939167;5613,103333;24,239;60,08;23,34
15/06/2021 16:00;1454,882333;5604,678333;24,51818182;60,68;23,4
15/06/2021 17:00;1452,4895;5602,134667;24,09809524;60,94;23,44
15/06/2021 18:00;1450,0775;5595,112667;23,3462963;60,66;23,45
15/06/2021 19:00;1450,784833;5603,334167;23,55106383;61,36;23,47
15/06/2021 20:00;1451,361333;5603,796667;23,453125;61,89;23,48
15/06/2021 21:00;1449,628667;5600,392833;23,08924731;62,07;23,49
15/06/2021 22:00;1448,236667;5601,083;23,17261905;61,49;23,5
15/06/2021 23:00;1447,071333;5597,068833;23,41086957;61,53;23,52
16/06/2021 0:00;1314,157667;5248,642167;23,02688172;61,77;23,47
16/06/2021 1:00;1239,842167;5122,4135;22,85164835;62,01;23,47
16/06/2021 2:00;1238,993833;5127,7145;22,78854167;61,81;23,47
16/06/2021 3:00;1238,416833;5122,956;22,86551724;62,24;23,47
16/06/2021 4:00;1238,106;5123,0805;22,83026316;62,28;23,47
16/06/2021 5:00;1240,116833;5122,543333;22,78163265;62,67;23,46
16/06/2021 6:00;1244,121667;5131,5135;23,04827586;62,27;23,46
16/06/2021 7:00;1243,770833;5135,8;23,20104167;62,69;23,47
16/06/2021 8:00;1245,51;5140,434333;23,72178218;60,88;23,48
16/06/2021 9:00;1246,669167;5142,593667;23,78350515;60,39;23,49
16/06/2021 10:00;1246,772167;5140,208667;23,9440367;60,16;23,48
16/06/2021 11:00;1245,379167;5136,948833;24,63545455;60,24;23,5
16/06/2021 12:00;1243,969;5133,469333;24,13300971;61,07;23,51
16/06/2021 13:00;1243,000167;5131,487;24,35092593;60,41;23,51
16/06/2021 14:00;1250,27;5163,903833;39,47567568;42,32;24,18
16/06/2021 15:00;1250,500333;5154,461167;22,21489362;72,95;24,08
16/06/2021 16:00;1255,883167;5156,692167;22,05604396;73,98;23,99
16/06/2021 17:00;1255,831667;5152,8885;22,02083333;75,23;23,93
16/06/2021 18:00;1254,4465;5140,992333;22,02891566;76,51;23,86
16/06/2021 19:00;1252,833833;5132,970333;21,98837209;76,13;23,8
16/06/2021 20:00;1252,452167;5130,697833;21,98157895;75,82;23,75
16/06/2021 21:00;1252,677167;5119,803167;21,95696203;75,19;23,7
16/06/2021 22:00;1253,045833;5119,457333;21,90833333;76,59;23,63
16/06/2021 23:00;1253,753667;5110,286167;21,9195122;75,91;23,59
17/06/2021 0:00;1254,386667;5106,4325;21,936;75,99;23,55
17/06/2021 1:00;1254,569667;5102,1265;21,92948718;74,9;23,48
17/06/2021 2:00;1255,333667;5096,625833;22;75,97;23,45
17/06/2021 3:00;1257,299167;5090,9495;21,91025641;76,7;23,41
17/06/2021 4:00;1265,904167;5092,398333;21,99305556;76,62;23,37
17/06/2021 5:00;1266,554167;5089,548;22,04821429;75,85;23,34
17/06/2021 6:00;1266,7745;5081,943;22,02205882;76,29;23,3
17/06/2021 7:00;1267,469167;5077,096833;22,0313253;75,51;23,25
17/06/2021 8:00;1269,098333;5081,434;22,23679245;74,82;23,19
17/06/2021 9:00;1271,9915;5080,0865;22,275;73,87;23,12
17/06/2021 10:00;1274,754167;5079,6085;22,31836735;73,41;23,06
17/06/2021 11:00;1272,832;5073,658667;22,38076923;72,72;22,96
17/06/2021 12:00;1273,315;5058,701833;22,29320388;73,47;22,89
17/06/2021 13:00;1273,782667;5052,254167;22,36415094;72,52;22,8
17/06/2021 14:00;1271,826167;5037,431667;22,591;72,77;22,1
17/06/2021 15:00;1272,1405;5037,888;22,39387755;72,1;22,11
17/06/2021 16:00;1271,919333;5038,095;22,2375;73,22;22,12
17/06/2021 17:00;1270,594667;5030,066833;22,07083333;73,6;22,12
17/06/2021 18:00;1267,931333;5026,5905;22,05822785;74,63;22,12
17/06/2021 19:00;1266,056667;5023,7;21,95263158;74,4;22,12
17/06/2021 20:00;1265,372167;5024,515833;21,93975904;74,79;22,12
17/06/2021 21:00;1265,364333;5021,505667;21,87625;74,73;22,11
17/06/2021 22:00;1265,302833;5021,205333;22,02702703;75,32;22,12
17/06/2021 23:00;1264,452167;5017,9705;22,1;75,53;22,12
18/06/2021 0:00;1473,3325;5516,7865;21,99661017;74,59;22,14
18/06/2021 1:00;1497,9595;5527,5345;22,01272727;75,01;22,15
18/06/2021 2:00;1496,488167;5522,2535;21,95901639;75,16;22,14
18/06/2021 3:00;1498,1755;5526,804167;21,99253731;75,29;22,14
18/06/2021 4:00;1502,974167;5539,921167;22,02641509;75,16;22,14
18/06/2021 5:00;1502,571;5534,399833;21,9238806;75,65;22,14
18/06/2021 6:00;1502,244667;5537,0925;21,98169014;75,17;22,13
18/06/2021 7:00;1506,408833;5542,701333;22,0030303;75,47;22,11
18/06/2021 8:00;1514,863667;5564,27;22,072;74,58;22,1
18/06/2021 9:00;1514,730333;5566,133;21,95;74,66;22,08
18/06/2021 10:00;1518,675833;5579,141167;22,05795455;74,14;22,07
18/06/2021 11:00;1514,975;5568,533167;22,07826087;73,76;22,06
18/06/2021 12:00;1513,114667;5566,0925;22,11777778;75,01;22,04
18/06/2021 13:00;1508,662333;5557,841;22,08977273;75,2;22,02
18/06/2021 14:00;644,5955;3136,962833;22,23529412;73,18;22,09
18/06/2021 20:00;1509,737667;5542,461333;22,15925926;74,84;22,05
18/06/2021 21:00;1508,423167;5540,332;22,06785714;75,27;22,05
18/06/2021 22:00;1516,063333;5561,319833;22,07375;75,39;22,05
18/06/2021 23:00;1520,33;5569,794167;22,0483871;75,63;22,06
19/06/2021 4:00;789,1506667;3773,651;22,27142857;68,68;22,04
19/06/2021 5:00;1522,656833;5571,748833;22,28552632;70,67;22,08
19/06/2021 6:00;1525,179667;5577,1975;22,2313253;72,29;22,08
19/06/2021 7:00;1521,388833;5571,848833;22,17159091;72,8;22,09
19/06/2021 8:00;1518,283667;5571,647167;22,2712963;72,01;22,1
19/06/2021 9:00;1518,867667;5575,079;22,42346939;71,33;22,12
19/06/2021 10:00;1516,234333;5568,421833;22,51683168;71,45;22,14
19/06/2021 11:00;1513,458167;5569,937833;22,73541667;71,57;22,17
19/06/2021 12:00;1511,557833;5571,317167;22,57623762;70,96;22,18
19/06/2021 13:00;1506,037333;5563,063833;22,70618557;71,44;22,21
19/06/2021 14:00;1504,257667;5564,530667;22,48;70,63;22,23
19/06/2021 15:00;1505,5725;5569,395333;22,57628866;70,66;22,25
19/06/2021 16:00;1511,365;5581,393;22,42473118;71,43;22,27
19/06/2021 17:00;1518,739833;5605,966333;22,11648352;71,16;22,28
19/06/2021 18:00;1524,5955;5612,084667;22,25802469;71,62;22,28
19/06/2021 19:00;1507,224667;5586,084167;22,25111111;72,58;22,28
19/06/2021 20:00;1524,516833;5623,171167;22,02386364;72,17;22,29
19/06/2021 21:00;1523,419667;5627,437667;22,08222222;72,15;22,3
19/06/2021 22:00;1521,891167;5624,305167;22,07052632;72,17;22,3
19/06/2021 23:00;1521,1065;5632,319167;22,01666667;71,3;22,31
20/06/2021 0:00;1505,854333;5597,5385;22,05411765;71,96;22,31
20/06/2021 1:00;1503,607333;5600,958833;22,03372093;71,84;22,3
20/06/2021 2:00;1502,681667;5594,918167;22,04938272;72,08;22,29
20/06/2021 3:00;1512,9485;5610,0735;22,17419355;71,95;22,29
20/06/2021 4:00;1511,335167;5615,295667;22,17160494;72,3;22,29
20/06/2021 5:00;1510,4995;5610,717167;22,10232558;72,59;22,28
20/06/2021 6:00;1509,138;5610,854833;22,15;72,56;22,27
20/06/2021 7:00;1508,701833;5610,864667;22,10595238;72,11;22,25
20/06/2021 8:00;1509,931667;5608,432167;22,14512195;70,84;22,22
20/06/2021 9:00;1508,011833;5606,471833;22,20206186;70,33;22,2
20/06/2021 10:00;950,44;4052,9455;22,56226415;69,86;22,26
20/06/2021 12:00;927,18;4200,656;22,609375;69,47;22,29
20/06/2021 13:00;924,8761667;4194,527833;22,7046729;70,26;22,3
20/06/2021 14:00;931,2698333;4195,495;22,41388889;70,31;22,3
20/06/2021 15:00;934,9188333;4193,768667;22,28602151;71,02;22,28
20/06/2021 16:00;932,6706667;4186,465;22,05116279;71,74;22,27
20/06/2021 17:00;930,4178333;4177,456667;22,23333333;72,11;22,26
20/06/2021 18:00;784,4475;3566,0145;22,19333333;72,5;22,29
21/06/2021 0:00;1379,292;5308,817167;22,08666667;71,96;22,25
21/06/2021 1:00;1436,861167;5451,402;22,19846154;74,9;22,26
21/06/2021 2:00;1459,017333;5479,4375;22,28023256;73,01;22,26
21/06/2021 3:00;1581,502667;5771,026833;22,36777778;73,15;22,28
21/06/2021 4:00;1600,680667;5790,779167;22,3494382;72,65;22,29
21/06/2021 5:00;1602,358333;5814,696333;22,32197802;71,76;22,3
21/06/2021 6:00;1601,135333;5835,2215;22,3106383;71,99;22,31
21/06/2021 7:00;1603,028;5876,027167;22,44942529;72,42;22,29
21/06/2021 8:00;1604,633167;5904,813833;22,48152174;71,51;22,29
21/06/2021 9:00;1604,0535;5937,982167;22,33;71,11;22,27
21/06/2021 10:00;1533,1575;5785,918833;22,52608696;70,9;22,28
21/06/2021 11:00;1474,807833;5720,081667;22,52857143;69,69;22,28
21/06/2021 12:00;1512,799167;5870,981167;22,504;69,34;22,31
21/06/2021 13:00;1593,175167;6052,740667;22,94454545;69,29;22,34
21/06/2021 14:00;1587,2905;6070,5955;22,68333333;69,51;22,37
21/06/2021 15:00;1582,682833;6088,274833;22,80816327;69,65;22,4
21/06/2021 16:00;1576,492833;6112,9905;22,45979381;70,57;22,41
