PLANTILLA_CURVAS;;;;;;;;
Equipo;BPT;;;;;;;
Producto ;Oleoducto;;;;;;;
Vicosidad (cSt);NA;;;;;;;
Densidad (kg/m³);NA;;;;;;;
RPM bomba;1714,035974;;;;;;;
Pnom motor (hp);800;;;;;;;
Modelo Bomba;Por Revisar;;;;;;;
Stages ;4;;;;;;;
Diametro (in);NA;;;;;;;
a;b;c;d;e;b1;b2;b3;b4
0,545540123;0,019929453;-0,019844444;-0,067157214;-55,2968418;-411,8200955;93254524,84;-310847327;-1,84933E+11
-0,001259426;0,002418804;0,962176073;-2,26447E-06;387559,6762;-423,6826515;-192,3389078;;
-0,501239738;-2,952293809;2,901897847;2,677615079;-1,323129809;;;;
